Age,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
12,0.35,1.05,3.0,2,1,1,0
6,7.25,9.85,0.69,2,0,1,0
8,7.45,8.92,4.2367,1,0,1,0
7,0.45,0.54,1.4,2,1,1,0
8,2.75,4.43,2.8282,2,0,1,0
8,8.4,13.6,2.5,2,0,1,0
8,5.5,5.7,0.4492,2,0,1,0
9,3.65,7.0,3.5,2,0,1,0
8,4.75,7.13,3.5866,2,0,1,1
8,5.25,5.9,1.4465,2,0,1,0
17,1.05,4.15,6.5,2,0,1,0
10,0.42,0.73,1.2,2,1,1,0
8,6.7,10.0,1.8828,2,0,1,0
6,3.5,4.43,3.8488,2,0,1,0
10,1.05,1.9,0.54,2,1,1,0
8,1.1,1.47,2.6,2,1,1,0
8,3.95,6.8,3.6,2,0,1,0
8,0.75,0.82,1.8,2,1,1,0
6,0.65,0.81,1.18,2,1,1,0
10,4.0,4.6,3.0,2,0,1,0
13,9.25,20.45,5.9,1,0,1,0
9,4.5,6.4,1.9,2,0,1,0
11,0.5,0.99,1.3,2,1,1,0
8,6.85,10.38,5.1,1,0,1,0
10,7.45,18.61,5.6001,2,0,1,0
7,9.15,13.6,2.9223,2,0,1,0
8,4.65,7.2,4.8767,2,0,1,0
10,2.9,4.41,5.6879,2,0,1,0
10,4.8,9.4,6.0241,2,0,1,0
9,18.75,35.96,7.8,1,0,0,0
14,2.25,7.21,7.7427,2,0,1,0
12,0.15,0.57,3.5,2,1,1,1
6,1.2,1.47,1.1,2,1,1,0
13,2.25,7.5,6.1203,2,0,1,0
8,1.35,2.37,2.17,2,1,1,0
10,5.95,9.4,4.9,1,0,1,0
11,0.95,1.75,1.15,2,1,1,0
12,4.1,10.0,6.9341,2,0,1,0
13,0.31,1.05,21.3,2,1,1,0
8,1.11,1.47,1.75,2,1,1,0
13,3.25,6.79,5.8,1,0,1,1
6,0.78,0.84,0.5,2,1,1,0
8,11.45,14.79,1.29,2,0,0,0
9,4.4,7.13,3.4,2,0,1,0
9,0.35,0.52,1.9,2,1,0,0
7,7.75,10.79,4.3,1,0,1,0
8,23.0,30.61,4.0,1,0,0,0
8,0.18,0.32,3.5,2,1,1,0
8,5.15,5.7,3.4797,2,0,0,0
6,9.25,9.4,1.5001,2,0,1,0
7,20.75,25.39,2.9,1,0,0,0
12,4.5,12.48,4.5,1,0,1,0
6,1.65,1.78,0.4,2,1,1,0
10,5.25,9.9,5.4242,2,0,1,0
12,2.9,6.79,3.1604,2,0,1,0
8,0.4,0.54,1.4,2,1,1,0
7,6.6,7.7,1.6002,2,0,1,0
8,6.1,7.71,2.6,2,0,1,0
7,5.65,7.9,2.8569,2,0,1,0
9,4.1,6.8,3.9485,2,0,1,1
8,5.25,5.7,2.4678,2,0,1,0
11,4.5,9.4,3.6,2,0,1,0
7,7.4,8.5,1.5059,2,0,0,0
8,4.5,7.27,4.0534,2,0,1,0
6,1.45,1.6,0.12,2,1,1,0
10,6.15,9.4,4.5,1,0,1,0
7,6.25,7.6,0.7,2,0,1,0
8,5.95,9.4,3.6,2,0,1,0
10,3.9,5.7,5.3,1,0,1,0
12,3.0,4.99,2.0,2,0,1,0
